,Text,Context,1,2
51,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
52,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
53,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
54,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
55,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
56,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
57,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
58,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
59,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
60,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
61,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
62,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
63,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
64,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
65,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
66,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
67,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
68,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
69,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
70,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
71,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
72,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
73,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
74,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
75,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
76,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
77,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
78,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
79,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
80,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
81,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
82,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
83,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
84,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
85,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
86,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
87,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
88,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
89,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
90,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
91,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
92,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
93,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
94,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
95,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
96,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
97,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
98,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
99,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
100,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
101,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
102,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
103,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
104,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
105,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
106,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
107,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
108,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
109,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
110,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
111,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
112,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
113,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
114,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
115,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
116,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
117,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
118,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
119,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
120,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
121,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
122,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
123,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
124,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
125,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
126,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
127,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
128,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
129,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
130,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
131,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
132,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
133,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
134,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
135,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
136,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
137,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
138,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
139,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
140,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
141,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
142,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
143,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
144,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
145,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
146,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
147,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
148,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
149,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
150,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
151,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
152,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
153,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
154,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
155,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
156,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
157,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
158,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
159,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
160,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
161,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
162,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
163,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
164,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
165,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
166,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
167,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
168,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
169,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
170,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
171,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
172,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
173,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
174,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
175,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
176,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
177,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
178,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
179,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
180,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
181,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
182,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
183,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
184,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
185,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
186,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
187,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
188,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
189,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
190,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
191,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
192,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
193,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
194,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
195,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
196,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,CEL-170/4
197,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,rate of cases with at least one comorbidity
198,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,device-specific rates and procedure-specific rates
199,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 4 to 6 years at vaccination
200,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,mean with confidence interval
201,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,human age 12 to 23 months at vaccination
202,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,persons aged 25--64 years with medical conditions at higher risk for influenza-related complications
203,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Flow Rate
204,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,life stages with duration and mortality
205,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,percentage of cases which are detected
206,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Molar Rate
207,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,probability of exit from a country is denied
208,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,number of cases with no symptoms
209,with 4 rates,"with 4 rates : beta , vr , vs , gamma .",Rate,Ditanrix
