,doc_id,annotated_page_num,para_num,event_id,event,locationContext,sentence_text,temporalContext,explanation,pg_num,blk_id,sentence_id,doc_sentence_count,doc_sent_linear_order,linear_order
1972,-1990816971,30.0,1.0,E:-2031308707,tau = 0.0100,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1973
1973,-1990816971,30.0,1.0,E:-152086775,sigma = 0.0100,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1974
1974,-1990816971,30.0,1.0,E:-1734273384,sigma =,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1975
1975,-1990816971,30.0,1.0,E:1145835819,sigma = 0.0100,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1976
1976,-1990816971,30.0,1.0,E:802410964,"life-threatening symptoms, whose nominal values are mu=0.0080",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1977
1977,-1990816971,30.0,1.0,E:1070981587,xi = 0.0200,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1978
1978,-1990816971,30.0,1.0,E:-646474365,kappa =,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1979
1979,-1990816971,30.0,1.0,E:-1871646866,"healing coefficient lambda, whose nominal value is lambda=0.0800",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1980
1982,-1990816971,30.0,1.0,E:1526712561,"healing coefficient lambda, whose nominal value is lambda=0",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1983
1983,-1990816971,30.0,1.0,E:1878571915,"kappa, xi and sigma, whose nominal values",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1984
1985,-1990816971,30.0,1.0,E:2037626888,nu = 0.0150,Italy,"Sensitivity,analysis,showing,the,effect,of,varying,,,after,day,50,:,the,worsening,coefficients,zeta,and,eta,leading,to,clinically,relevant,symptoms,,,whose,nominal,values,are,zeta,=,eta,=0,.0250,(,row,a,),;,the,worsening,coefficients,mu,and,nu,leading,to,life-threatening,symptoms,,,whose,nominal,values,are,mu,=0,.0080,and,nu,=,0.0150,(,row,b,),;,the,healing,coefficient,lambda,,,whose,nominal,value,is,lambda,=0,.0800,(,row,c,),;,the,healing,coefficients,rho,,,kappa,,,xi,and,sigma,,,whose,nominal,values,are,rho,=,kappa,=,xi,=,0.0200,and,sigma,=,0.0100,(,row,d,),;,the,mortality,coefficient,tau,,,whose,nominal,value,is,tau,=,0.0100,(,row,e,),.",after day 50,,30,1,1,7,112,1986
2105,-1990816971,30.0,1.0,E:595762267,"nominal value of all the considered parameters is multiplied by 0.5, 0.8, 1, 1.2, 2, and the corresponding evolution of the model variables",Italy,"In,all,cases,,,the,nominal,value,of,all,the,considered,parameters,is,multiplied,by,0.5,,,0.8,,,1,,,1.2,,,2,,,and,the,corresponding,evolution,of,the,model,variables,is,shown,.",after day 50,,30,1,2,7,113,2106
2134,-1990816971,10.0,1.0,E:1950915806,"Increasing zeta and eta decreases the final number of infected and recovered, but also increases",Italy,"Increasing,zeta,and,eta,decreases,the,final,number,of,infected,and,recovered,,,but,also,increases,the,number,of,deaths,;,the,number,of,symptomatic,and,life-threatening,infections,initially,increases,,,to,decrease,afterwards,.",after day 50,,30,1,3,7,114,2135
2135,-1990816971,30.0,1.0,E:890854259,"number of symptomatic and life-threatening infections initially increases, to decrease",Italy,"Increasing,zeta,and,eta,decreases,the,final,number,of,infected,and,recovered,,,but,also,increases,the,number,of,deaths,;,the,number,of,symptomatic,and,life-threatening,infections,initially,increases,,,to,decrease,afterwards,.",after day 50,,30,1,3,7,114,2136
2155,-1990816971,30.0,1.0,E:1152677709,"number of life-threatening infections initially increases, to decrease",Italy,"Increasing,mu,and,nu,decreases,the,final,number,of,infected,and,recovered,,,but,also,increases,the,number,of,deaths,;,the,number,of,life-threatening,infections,initially,increases,,,to,decrease,afterwards,.",after day 50,,30,1,4,7,115,2156
2156,-1990816971,30.0,1.0,E:-1234410115,"Increasing mu and nu decreases the final number of infected and recovered, but also increases",Italy,"Increasing,mu,and,nu,decreases,the,final,number,of,infected,and,recovered,,,but,also,increases,the,number,of,deaths,;,the,number,of,life-threatening,infections,initially,increases,,,to,decrease,afterwards,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,30,1,4,7,115,2157
2185,-1990816971,30.0,1.0,E:-343634579,"lambda, as well as the other healing parameters, decreases all the curves, apart from the curve of recovered patients",Italy,"Increasing,lambda,,,as,well,as,the,other,healing,parameters,,,decreases,all,the,curves,,,apart,from,the,curve,of,recovered,patients,,,which,initially,increases,(,due,to,a,higher,recovery,rate,),and,then,eventually,decreases,(,due,to,less,infections,overall,),.",after day 50,,30,1,5,7,116,2186
1394,-1974636276,8.0,5.0,E:1400684402,transfer function from u to yS in the system (9)-(13) is G(s),Italy,"The,transfer,function,from,u,to,yS,in,the,system,(,9,),-,(,13,),is,G,(,s,),=,N,(,s,),/,D,(,s,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,12,0,32,79,1395
1437,-1974636276,8.0,6.0,E:2075852459,Hinfinity norm of G(s) is equal to the static gain G(0),Italy,"Because,the,system,is,positive,,,the,Hinfinity,norm,of,G,(,s,),is,equal,to,the,static,gain,G,(,0,),=,N,(,0,),/,D,(,0,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,12,1,32,80,1438
1504,-1974636276,8.0,6.0,E:-903779288,R0 = G(0) is the Hinfinity norm of the transfer function G(s,Italy,"I,(,Notice,also,that,R0,=,G,(,0,),is,the,Hinfinity,norm,of,the,transfer,function,G,(,s,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,12,4,32,83,1505
1711,-1974636276,8.0,6.0,E:255254999,S represents the fraction of population,Italy,"The,limit,S,represents,the,fraction,of,population,that,has,never,been,infected,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,12,20,32,99,1712
1713,-1974636276,8.0,6.0,E:-261756836,S represents the fraction of population,Italy,"The,limit,S,represents,the,fraction,of,population,that,has,never,been,infected,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,12,20,32,99,1714
1791,-1974636276,8.0,6.0,E:125043908,action u td Th (1/4) S td ThyS td Th (1/4) S td Th alphaI th betaD th gammaA th deltaD d Th has a destabilizing effect on the IDART subsystem,Italy,"The,action,u,td,Th,(,1/4,),S,td,ThyS,td,Th,(,1/4,),S,td,Th,alphaI,th,betaD,th,gammaA,th,deltaD,d,Th,has,a,destabilizing,effect,on,the,IDART,subsystem,,,which,would,be,stable,without,this,feedback,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,12,22,32,101,1792
1189,-1754395896,18.0,1.0,E:286033817,"transmission coefficient beta, whose nominal value is beta=0",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,beta,,,whose,nominal,value,is,beta,=0,.0050,,,after,day,50,.",after day 50,,20,1,1,5,58,1190
1190,-1754395896,1.0,1.0,E:379198937,"transmission coefficient beta, whose nominal value is beta=0.0050",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,beta,,,whose,nominal,value,is,beta,=0,.0050,,,after,day,50,.",after day 50,,20,1,1,5,58,1191
1275,-1754395896,18.0,1.0,E:-1066649954,Increasing beta increases,Italy,"Increasing,beta,increases,all,the,curves,,,although,the,sensitivity,is,smaller,than,with,respect,to,alpha,.",after day 50,,20,1,4,5,61,1276
1000,-1621144337,3.0,1.0,E:1606954979,model based on the available data about the COVID-19 outbreak,Italy,"Epidemic,evolution,predicted,by,the,model,based,on,the,available,data,about,the,COVID-19,outbreak,in,Italy,.",over a 350-day horizon,,3,5,1,7,47,1001
1001,-1621144337,1.0,1.0,E:1619552276,",b, The short-term epidemic evolution obtained by reproducing the data trend with the model",Italy,"a,,,b,,,The,short-term,epidemic,evolution,obtained,by,reproducing,the,data,trend,with,the,model,.",20 February 2020 (day 1) through 5 April 2020 (day 46),from figure caption i.e. description,3,5,2,7,48,1002
1014,-1621144337,1.0,1.0,E:1338471470,"c,d, The long-term predicted evolution over a 350-day horizon",,"c,,,d,,,The,long-term,predicted,evolution,over,a,350-day,horizon,.",,mixed up lines between the two columns.,3,5,3,7,49,1015
1022,-1621144337,3.0,2.0,E:-406739565,",c, The difference between the actual evolution of the epidemic (solid lines",Italy,"a,,,c,,,The,difference,between,the,actual,evolution,of,the,epidemic,(,solid,lines,;,this,refers,to,all,cases,of,infection,,,both,diagnosed,and,non,diagnosed,,,predicted,by,the,model,,,although,non,diagnosed,cases,are,of,course,not,counted,in,the,data,),and,the,diagnosed,epidemic,evolution,(,dashed,lines,;,this,refers,to,all,cases,that,have,been,diagnosed,and,are,thus,reported,in,the,data,),.",over a 350-day horizon,,3,5,4,7,50,1023
907,-1581650974,8.0,2.0,E:-956718082,"r1 = epsilon + zeta + lambda, r2 = eta + rho, r3 = theta + mu + kappa, r4 = nu + xi and r5 = sigma + tau",Italy,"where,r1,=,epsilon,+,zeta,+,lambda,,,r2,=,eta,+,rho,,,r3,=,theta,+,mu,+,kappa,,,r4,=,nu,+,xi,and,r5,=,sigma,+,tau,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,6,0,2,41,908
908,-1581650974,8.0,2.0,E:628674932,r4 = nu + xi and r5 = sigma + tau,Italy,"where,r1,=,epsilon,+,zeta,+,lambda,,,r2,=,eta,+,rho,,,r3,=,theta,+,mu,+,kappa,,,r4,=,nu,+,xi,and,r5,=,sigma,+,tau,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,6,0,2,41,909
909,-1581650974,8.0,4.0,E:1291752591,r5 = sigma + tau,Italy,"where,r1,=,epsilon,+,zeta,+,lambda,,,r2,=,eta,+,rho,,,r3,=,theta,+,mu,+,kappa,,,r4,=,nu,+,xi,and,r5,=,sigma,+,tau,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,6,0,2,41,910
331,-1410587238,10.0,9.0,E:-633983257,parameters that can be influenced by policymakers,Italy,"We,now,investigate,the,sensitivity,of,the,model,to,parameter,variations,,,focusing,in,particular,on,the,parameters,that,can,be,influenced,by,policymakers,:,transmission,parameters,,,related,to,lockdown,measures,(,alpha,,,beta,,,gamma,and,delta,),,,and,testing,parameters,,,related,to,testing,and,contact,tracing,policies,(,epsilon,,,theta,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,2,1,18,18,332
360,-1410587238,10.0,10.0,E:-251408844,model is particularly sensitive to variations,Italy,"Interestingly,,,the,model,is,particularly,sensitive,to,variations,in,the,value,of,alpha,and,of,epsilon,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,2,4,18,21,361
386,-1410587238,10.0,10.0,E:-1185734221,"other transmission parameters, beta, gamma",Italy,"Also,increasing,the,other,transmission,parameters,,,beta,,,gamma,and,delta,,,increases,all,the,curves,-,-,that,is,,,increases,the,values,of,all,the,variables,,,point,by,point,,,over,time,(,Extended,Data,Figs,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,2,6,18,23,387
387,-1410587238,10.0,10.0,E:257972219,"other transmission parameters, beta, gamma and delta",Italy,"Also,increasing,the,other,transmission,parameters,,,beta,,,gamma,and,delta,,,increases,all,the,curves,-,-,that,is,,,increases,the,values,of,all,the,variables,,,point,by,point,,,over,time,(,Extended,Data,Figs,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,2,6,18,23,388
388,-1410587238,10.0,10.0,E:-1350362465,"other transmission parameters, beta",Italy,"Also,increasing,the,other,transmission,parameters,,,beta,,,gamma,and,delta,,,increases,all,the,curves,-,-,that,is,,,increases,the,values,of,all,the,variables,,,point,by,point,,,over,time,(,Extended,Data,Figs,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,2,6,18,23,389
37,-1392419885,2.0,1.0,E:-720586081,"different severity of illness (SOI),","Italy,Lodi Province,Lombardy","Our,model,,,named,SIDARTHE,,,discriminates,between,detected,parameters,based,on,data,from,20,February,2020,(,day,1,),to,5,April,and,undetected,cases,of,infection,and,between,different,severity,of,illness,(,SOI,),,,non-life-threatening,cases,(,asymptomatic,and,pauci2020,(,day,46,),and,show,how,the,progressive,restrictions,,,includsymptomatic,;,minor,and,moderate,infection,),and,potentially,lifeing,the,most,recent,lockdown,progressively,enforced,since,9,March,2020,,,have,affected,the,spread,of,the,epidemic,.","20 February 2020 (day 1) to 5 April 2020 (day 46),26 February 2020,9 March 2020",,2,4,0,13,4,38
40,-1392419885,2.0,3.0,E:-1738274418,moderate infection) and potentially lifeing the most recent lockdown progressively enforced since 9 March 2020,,"Our,model,,,named,SIDARTHE,,,discriminates,between,detected,parameters,based,on,data,from,20,February,2020,(,day,1,),to,5,April,and,undetected,cases,of,infection,and,between,different,severity,of,illness,(,SOI,),,,non-life-threatening,cases,(,asymptomatic,and,pauci2020,(,day,46,),and,show,how,the,progressive,restrictions,,,includsymptomatic,;,minor,and,moderate,infection,),and,potentially,lifeing,the,most,recent,lockdown,progressively,enforced,since,9,March,2020,,,have,affected,the,spread,of,the,epidemic,.",,mixed up lines between the two columns.,2,4,0,13,4,41
124,-1392419885,2.0,3.0,E:50236998,possible longer-term scenarios illustrating the effects of  different The total population is partitioned into eight stages of  discountermeasures,,"possible,longer-term,scenarios,illustrating,the,effects,of,different,The,total,population,is,partitioned,into,eight,stages,of,discountermeasures,,,including,social,distancing,and,population-wide,ease,:,S,,,susceptible,(,uninfected,),;,I,,,infected,(,asymptomatic,or,testing,,,to,contain,SARS-CoV-2,.",,mixed up lines between the two columns.,2,4,2,13,6,125
